"Year","Month","DeathRate","ZipCode"
2020,5,NA,"10013"
2020,5,NA,"10014"
2020,5,NA,"10016"
2020,5,NA,"10017"
2020,5,NA,"10018"
2020,5,NA,"10019"
2020,5,26.2,"10021"
2020,5,25.9,"10022"
2020,5,11.3,"10023"
2020,5,27.4,"10024"
2020,5,43.7,"10025"
2020,5,33.6,"10026"
2020,5,20.5,"10027"
2020,5,16.9,"10028"
2020,5,55,"10029"
2020,5,23.9,"10030"
2020,5,32.2,"10031"
2020,5,36.5,"10032"
2020,5,41,"10033"
2020,5,21.3,"10034"
2020,5,51.1,"10035"
2020,5,33,"10036"
2020,5,24,"10037"
2020,5,43.7,"10038"
2020,5,47.8,"10039"
2020,5,56.9,"10040"
2020,5,68.5,"10044"
2020,5,NA,"10065"
2020,5,NA,"10069"
2020,5,52.1,"10075"
2020,5,20.5,"10128"
2020,5,51.4,"10301"
2020,5,27,"10302"
2020,5,45.3,"10303"
2020,5,71.6,"10304"
2020,5,42,"10305"
2020,5,18.9,"10306"
2020,5,NA,"10307"
2020,5,NA,"10308"
2020,5,15.2,"10309"
2020,5,34.1,"10310"
2020,5,18,"10312"
2020,5,50.8,"10314"
2020,5,40.1,"10451"
2020,5,29.3,"10452"
2020,5,36.9,"10453"
2020,5,39.7,"10454"
2020,5,45.4,"10455"
2020,5,46.1,"10456"
2020,5,38,"10457"
2020,5,36.3,"10458"
2020,5,35.5,"10459"
2020,5,25.5,"10460"
2020,5,61.1,"10461"
2020,5,45.1,"10462"
2020,5,64.3,"10463"
2020,5,NA,"10464"
2020,5,18.6,"10465"
2020,5,32.3,"10466"
2020,5,57.8,"10467"
2020,5,66.8,"10468"
2020,5,66.1,"10469"
2020,5,NA,"10470"
2020,5,75.3,"10471"
2020,5,53,"10472"
2020,5,37.2,"10473"
2020,5,50.1,"10474"
2020,5,65.5,"10475"
2020,5,73.9,"11004"
2020,5,13.6,"11101"
2020,5,56.6,"11102"
2020,5,31.5,"11103"
2020,5,43.2,"11104"
2020,5,44.2,"11105"
2020,5,32.1,"11106"
2020,5,40.1,"11201"
2020,5,47.7,"11203"
2020,5,28.5,"11204"
2020,5,13.2,"11205"
2020,5,26.5,"11206"
2020,5,35.9,"11207"
2020,5,42.9,"11208"
2020,5,37,"11209"
2020,5,33.5,"11210"
2020,5,12.8,"11211"
2020,5,43.3,"11212"
2020,5,38.7,"11213"
2020,5,45.3,"11214"
2020,5,11.5,"11215"
2020,5,43.8,"11216"
2020,5,39.1,"11217"
2020,5,37.8,"11218"
2020,5,26.6,"11219"
2020,5,24.3,"11220"
2020,5,40.5,"11221"
2020,5,22.1,"11222"
2020,5,46.6,"11223"
2020,5,101.6,"11224"
2020,5,38.3,"11225"
2020,5,41.1,"11226"
2020,5,26.7,"11228"
2020,5,35.9,"11229"
2020,5,37.1,"11230"
2020,5,13.4,"11231"
2020,5,44.3,"11232"
2020,5,33.6,"11233"
2020,5,30.8,"11234"
2020,5,78,"11235"
2020,5,40.2,"11236"
2020,5,35.4,"11237"
2020,5,39.2,"11238"
2020,5,92.1,"11239"
2020,5,109.4,"11354"
2020,5,36.8,"11355"
2020,5,26.3,"11356"
2020,5,51.7,"11357"
2020,5,16.7,"11358"
2020,5,36.8,"11360"
2020,5,49.3,"11361"
2020,5,27.6,"11362"
2020,5,NA,"11364"
2020,5,27.4,"11365"
2020,5,NA,"11366"
2020,5,29.5,"11367"
2020,5,51.6,"11368"
2020,5,80.3,"11369"
2020,5,NA,"11370"
2020,5,72.5,"11372"
2020,5,42.6,"11373"
2020,5,36.2,"11374"
2020,5,37.9,"11375"
2020,5,33.3,"11377"
2020,5,24.9,"11378"
2020,5,40.9,"11379"
2020,5,26.1,"11385"
2020,5,28.1,"11411"
2020,5,31.5,"11412"
2020,5,41.7,"11413"
2020,5,31.7,"11414"
2020,5,53,"11415"
2020,5,22.7,"11416"
2020,5,16.1,"11417"
2020,5,39.9,"11418"
2020,5,43.3,"11419"
2020,5,41.8,"11420"
2020,5,30,"11421"
2020,5,37,"11422"
2020,5,51.4,"11423"
2020,5,39.7,"11426"
2020,5,29.7,"11427"
2020,5,43.1,"11428"
2020,5,64.7,"11429"
2020,5,72.4,"11432"
2020,5,32.9,"11433"
2020,5,56.9,"11434"
2020,5,59.9,"11435"
2020,5,NA,"11436"
2020,5,73.3,"11691"
2020,5,85.6,"11692"
2020,5,NA,"11693"
2020,5,77,"11694"
2020,5,NA,"11697"
2020,5,NA,"10004"
2020,5,NA,"10005"
2020,5,NA,"10280"
2020,5,NA,"10282"
2020,5,NA,"11109"
2020,5,NA,"11363"
2020,6,11.5,"Bronx"
2020,6,8.3,"Brooklyn"
2020,6,6.4,"Manhattan"
2020,6,10.2,"Queens"
2020,6,8,"Staten_Island"
2020,6,9,"Citywide"
2020,6,NA,"10001"
2020,6,9.3,"10002"
2020,6,NA,"10003"
2020,6,NA,"10006"
2020,6,NA,"10007"
2020,6,NA,"10009"
2020,6,NA,"10010"
2020,6,NA,"10011"
2020,6,NA,"10012"
2020,6,NA,"10013"
2020,6,NA,"10014"
2020,6,NA,"10016"
2020,6,NA,"10017"
2020,6,NA,"10018"
2020,6,NA,"10019"
2020,6,NA,"10021"
2020,6,NA,"10022"
2020,6,NA,"10023"
2020,6,NA,"10024"
2020,6,7.6,"10025"
2020,6,NA,"10026"
2020,6,NA,"10027"
2020,6,NA,"10028"
2020,6,7.7,"10029"
2020,6,NA,"10030"
2020,6,10.2,"10031"
2020,6,7.9,"10032"
2020,6,NA,"10033"
2020,6,NA,"10034"
2020,6,31.2,"10035"
2020,6,NA,"10036"
2020,6,33.7,"10037"
2020,6,NA,"10038"
2020,6,22.1,"10039"
2020,6,18.2,"10040"
2020,6,NA,"10044"
2020,6,NA,"10065"
2020,6,NA,"10069"
2020,6,NA,"10075"
2020,6,NA,"10128"
2020,6,NA,"10301"
2020,6,NA,"10302"
2020,6,NA,"10303"
2020,6,11.9,"10304"
2020,6,11.7,"10305"
2020,6,9.5,"10306"
2020,6,NA,"10307"
2020,6,NA,"10308"
2020,6,NA,"10309"
2020,6,NA,"10310"
2020,6,NA,"10312"
2020,6,15.1,"10314"
2020,6,10.6,"10451"
2020,6,12,"10452"
2020,6,7.6,"10453"
2020,6,13.2,"10454"
2020,6,11.9,"10455"
2020,6,11.8,"10456"
2020,6,12.2,"10457"
2020,6,NA,"10458"
2020,6,14.6,"10459"
2020,6,8.5,"10460"
2020,6,14.3,"10461"
2020,6,8,"10462"
2020,6,18.6,"10463"
2020,6,NA,"10464"
2020,6,13.9,"10465"
2020,6,NA,"10466"
2020,6,7.8,"10467"
2020,6,14.1,"10468"
2020,6,12.4,"10469"
2020,6,NA,"10470"
2020,6,28.2,"10471"
2020,6,10.3,"10472"
2020,6,11.8,"10473"
2020,6,NA,"10474"
2020,6,11.7,"10475"
2020,6,NA,"11004"
2020,6,NA,"11101"
2020,6,NA,"11102"
2020,6,NA,"11103"
2020,6,NA,"11104"
2020,6,NA,"11105"
2020,6,NA,"11106"
2020,6,9.6,"11201"
2020,6,8.2,"11203"
2020,6,11.7,"11204"
2020,6,NA,"11205"
2020,6,NA,"11206"
2020,6,7.9,"11207"
2020,6,10.5,"11208"
2020,6,NA,"11209"
2020,6,10.7,"11210"
2020,6,4.9,"11211"
2020,6,13.5,"11212"
2020,6,9.3,"11213"
2020,6,6.5,"11214"
2020,6,NA,"11215"
2020,6,9.1,"11216"
2020,6,NA,"11217"
2020,6,NA,"11218"
2020,6,6.7,"11219"
2020,6,8.5,"11220"
2020,6,7.4,"11221"
2020,6,NA,"11222"
2020,6,NA,"11223"
2020,6,17.3,"11224"
2020,6,8.7,"11225"
2020,6,10.3,"11226"
2020,6,13.3,"11228"
2020,6,15.6,"11229"
2020,6,NA,"11230"
2020,6,NA,"11231"
2020,6,NA,"11232"
2020,6,10.8,"11233"
2020,6,6.4,"11234"
2020,6,9,"11235"
2020,6,10.3,"11236"
2020,6,NA,"11237"
2020,6,NA,"11238"
2020,6,53.8,"11239"
2020,6,29.7,"11354"
2020,6,NA,"11355"
2020,6,NA,"11356"
2020,6,20.7,"11357"
2020,6,NA,"11358"
2020,6,NA,"11360"
2020,6,NA,"11361"
2020,6,27.6,"11362"
2020,6,NA,"11364"
2020,6,NA,"11365"
2020,6,NA,"11366"
2020,6,NA,"11367"
2020,6,6.3,"11368"
2020,6,14.9,"11369"
2020,6,18.9,"11370"
2020,6,NA,"11372"
2020,6,9.8,"11373"
2020,6,16.9,"11374"
2020,6,NA,"11375"
2020,6,13.1,"11377"
2020,6,NA,"11378"
2020,6,21.8,"11379"
2020,6,5.8,"11385"
2020,6,NA,"11411"
2020,6,NA,"11412"
2020,6,NA,"11413"
2020,6,NA,"11414"
2020,6,31.8,"11415"
2020,6,NA,"11416"
2020,6,NA,"11417"
2020,6,NA,"11418"
2020,6,NA,"11419"
2020,6,NA,"11420"
2020,6,NA,"11421"
2020,6,NA,"11422"
2020,6,16.1,"11423"
2020,6,NA,"11426"
2020,6,NA,"11427"
2020,6,NA,"11428"
2020,6,NA,"11429"
2020,6,19.8,"11432"
2020,6,NA,"11433"
2020,6,9,"11434"
2020,6,NA,"11435"
2020,6,NA,"11436"
2020,6,26.9,"11691"
2020,6,33.3,"11692"
2020,6,NA,"11693"
2020,6,NA,"11694"
2020,6,NA,"11697"
2020,6,NA,"10004"
2020,6,NA,"10005"
2020,6,NA,"10280"
2020,6,NA,"10282"
2020,6,NA,"11109"
