"Year","Month","HospRate","ZipCode"
2020,4,212.8,"11105"
2020,4,285.9,"11106"
2020,4,86.8,"11109"
2020,4,181.4,"11201"
2020,4,440.6,"11203"
2020,4,225.7,"11204"
2020,4,222.8,"11205"
2020,4,260.6,"11206"
2020,4,370.7,"11207"
2020,4,385.1,"11208"
2020,4,226.6,"11209"
2020,4,334.9,"11210"
2020,4,204.6,"11211"
2020,4,405.6,"11212"
2020,4,312.7,"11213"
2020,4,262.9,"11214"
2020,4,99.1,"11215"
2020,4,220.7,"11216"
2020,4,274,"11217"
2020,4,306.8,"11218"
2020,4,287.5,"11219"
2020,4,275.9,"11220"
2020,4,257.9,"11221"
2020,4,132.9,"11222"
2020,4,202.5,"11223"
2020,4,551.1,"11224"
2020,4,339,"11225"
2020,4,367.7,"11226"
2020,4,209,"11228"
2020,4,193.9,"11229"
2020,4,344.2,"11230"
2020,4,136.4,"11231"
2020,4,295.4,"11232"
2020,4,281.2,"11233"
2020,4,271.1,"11234"
2020,4,377.2,"11235"
2020,4,373.8,"11236"
2020,4,293.7,"11237"
2020,4,278.3,"11238"
2020,4,837,"11239"
2020,4,560.1,"11354"
2020,4,322.1,"11355"
2020,4,359.4,"11356"
2020,4,335.8,"11357"
2020,4,183.2,"11358"
2020,4,215.3,"11360"
2020,4,246.5,"11361"
2020,4,165.7,"11362"
2020,4,222.7,"11363"
2020,4,170.9,"11364"
2020,4,287.6,"11365"
2020,4,260.4,"11366"
2020,4,245.8,"11367"
2020,4,595.3,"11368"
2020,4,752.4,"11369"
2020,4,383.9,"11370"
2020,4,514.1,"11372"
2020,4,492.1,"11373"
2020,4,297.1,"11374"
2020,4,310.1,"11375"
2020,4,401,"11377"
2020,4,290.5,"11378"
2020,4,360.3,"11379"
2020,4,226.8,"11385"
2020,4,467.8,"11411"
2020,4,414.7,"11412"
2020,4,416.6,"11413"
2020,4,253.9,"11414"
2020,4,381.5,"11415"
2020,4,291.8,"11416"
2020,4,328.6,"11417"
2020,4,367.2,"11418"
2020,4,348.4,"11419"
2020,4,347,"11420"
2020,4,379.5,"11421"
2020,4,367.4,"11422"
2020,4,436.8,"11423"
2020,4,248,"11426"
2020,4,326.6,"11427"
2020,4,484.4,"11428"
2020,4,460.3,"11429"
2020,4,429.6,"11432"
2020,4,438.1,"11433"
2020,4,405.9,"11434"
2020,4,412.6,"11435"
2020,4,309.3,"11436"
2020,4,767.3,"11691"
2020,4,565.9,"11692"
2020,4,244.6,"11693"
2020,4,596.7,"11694"
2020,4,235.8,"11697"
2020,5,66.4,"Bronx"
2020,5,45.4,"Brooklyn"
2020,5,33.3,"Manhattan"
2020,5,47.4,"Queens"
2020,5,48.3,"Staten_Island"
2020,5,47.3,"Citywide"
2020,5,50.7,"10001"
2020,5,41.2,"10002"
2020,5,11.1,"10003"
2020,5,NA,"10004"
2020,5,NA,"10005"
2020,5,NA,"10006"
2020,5,NA,"10007"
2020,5,12.2,"10009"
2020,5,36,"10010"
2020,5,12.1,"10011"
2020,5,NA,"10012"
2020,5,17.3,"10013"
2020,5,NA,"10014"
2020,5,13.7,"10016"
2020,5,NA,"10017"
2020,5,NA,"10018"
2020,5,23,"10019"
2020,5,15.3,"10021"
2020,5,NA,"10022"
2020,5,11.3,"10023"
2020,5,18.8,"10024"
2020,5,36,"10025"
2020,5,28.4,"10026"
2020,5,52.1,"10027"
2020,5,16.9,"10028"
2020,5,57.5,"10029"
2020,5,44.4,"10030"
2020,5,54.2,"10031"
2020,5,53.9,"10032"
2020,5,46.1,"10033"
2020,5,30.8,"10034"
2020,5,96.5,"10035"
2020,5,22,"10036"
2020,5,81.8,"10037"
2020,5,21.9,"10038"
2020,5,47.8,"10039"
2020,5,61.4,"10040"
2020,5,77.1,"10044"
2020,5,NA,"10065"
2020,5,NA,"10069"
2020,5,21.7,"10075"
2020,5,15.4,"10128"
2020,5,NA,"10280"
2020,5,NA,"10282"
2020,5,56.5,"10301"
2020,5,64.9,"10302"
2020,5,75.4,"10303"
2020,5,81.2,"10304"
